Time,Res_percent
90.423141,2.265570642
90.489378,2.336560145
90.554613,2.378987698
90.615295,2.354340312
90.67976,2.305403317
90.737698,2.229905154
90.804765,2.16409037
90.868639,2.110171143
90.935423,2.101407677
90.996949,2.1078425
91.057926,2.16760467
91.119927,2.22128044
91.184717,2.254415412
91.247611,2.243951504
91.313381,2.234124977
91.380451,2.127312651
91.448286,1.969024891
91.506972,1.778329475
91.570717,1.576329828
91.63484,1.300943919
91.696296,1.053001339
91.759781,0.829236944
91.822955,0.636804783
91.885429,0.473798172
91.946144,0.392804783
92.010296,0.385952499
92.080861,0.473247531
92.143503,0.64640159
92.203773,0.897542935
92.270946,1.199794393
92.341241,1.509440759
92.406303,1.78816665
92.470742,2.025447996
92.532137,2.211819445
92.595228,2.34185076
92.656212,2.428110664
92.719493,2.460070272
92.784842,2.442237686
92.849253,2.3959407
92.913115,2.326858866
92.974144,2.245035624
93.037606,2.182206495
93.101017,2.149824769
93.163924,2.13772452
93.225936,2.166782573
93.290645,2.223572563
93.354834,2.257901867
93.41715,2.263877807
93.478869,2.259546352
93.539746,2.181896092
93.60666,2.025447063
93.675492,1.848733394
93.736532,1.641558745
93.799119,1.368998928
93.863843,1.104950323
93.925165,0.870798071
93.995039,0.661820547
94.061367,0.497878082
94.127381,0.41836645
94.188262,0.423717104
94.249269,0.528144959
94.311686,0.711894438
94.375002,0.968050449
94.442,1.260249767
94.505968,1.545803925
94.576933,1.812175615
94.64054,2.045731446
94.703475,2.237457426
94.765955,2.393992995
94.827125,2.515169468
94.888771,2.547650646
94.949872,2.52794488
95.012223,2.45319966
95.07245,2.333713507
95.136434,2.186174854
95.19817,2.085368989
95.262245,2.018065788
95.322277,1.989888992
95.387831,2.013843179
95.449347,2.123952777
95.513686,2.226818167
95.574497,2.288335186
95.641697,2.336193481
95.706569,2.320555302
95.772468,2.161144679
95.838979,1.947187906
95.905296,1.729508476
95.975102,1.455827173
96.037861,1.177640363
96.10045,0.942552149
96.162324,0.741240334
96.22367,0.564039661
96.288407,0.457800117
96.349356,0.434733521
96.412589,0.52170568
96.473655,0.708466265
96.53684,0.972751578
96.599237,1.287745916
96.662607,1.596923163
96.723493,1.847981583
96.788885,2.044003195
96.852864,2.199415633
96.91633,2.296581343
96.97631,2.370846555
97.042484,2.428076842
97.10657,2.434456759
97.180806,2.387843556
97.244259,2.3250911
97.309849,2.23375411
97.375951,2.152427251
97.43817,2.097487202
97.496192,2.084555903
97.557756,2.123516413
97.625059,2.197994986
97.693447,2.258881934
97.757978,2.31235583
97.823392,2.335345349
97.890214,2.260299859
97.956974,2.106361566
98.020616,1.902965072
98.082867,1.657802271
98.149809,1.367567198
98.215052,1.096202148
98.274112,0.860925159
98.339491,0.667144883
98.40205,0.511978728
98.463029,0.425636565
98.523312,0.431109437
98.591899,0.5406603
98.662985,0.740768754
98.727839,1.022129746
98.790115,1.349520663
98.857121,1.654712293
98.921164,1.903323702
98.98206,2.108597032
99.042547,2.266355501
99.107896,2.382082173
99.175959,2.472417642
99.242098,2.514170698
99.30805,2.486267995
99.371742,2.411198866
99.434651,2.303668471
99.49552,2.177134817
99.555362,2.07091642
99.61764,2.029912575
99.678823,2.023346539
99.74083,2.072627287
99.802598,2.139346553
99.864866,2.220750907
99.924582,2.240690406
99.985889,2.262227015
100.044387,2.215618801
100.105384,2.131307203
100.166654,1.985076254
100.230237,1.83082092
100.294976,1.591414878
100.359402,1.320676687
